DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1579.00019,49341.240359999996,3.2
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1660.6268,51510.42436,3.22
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,737.01118,31420.38308,2.35
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1301.07988,45217.34672,2.88
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,862.7662,19330.64695,4.46
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,170.65333,16759.4962,1.02
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,4372.32008,116953.62805,3.74
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,7551.098010000001,150422.48937,5.02
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,213.09333,7155.9566,2.98
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1510,Health Education England,Others,4436.71624,191766.43961,2.31
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,73.56,4307.9101200000005,1.71
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,9561.40939,408249.76120999997,2.34
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X36,UK Health Security Agency,Others,2984.40405,145317.95794,2.05
28/02/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,478.15999999999997,22884.12536,2.09
28/02/2023,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,339.73333,9222.02623,3.68
28/02/2023,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1065.62692,26792.17728,3.98
28/02/2023,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,611.8601,17917.2268,3.41
28/02/2023,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,24991.7403,618741.65182,4.04
28/02/2023,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,9244.38992,189694.90925,4.87
28/02/2023,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,16285.00701,376549.3467,4.32
28/02/2023,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,6205.39355,115750.07909,5.36
28/02/2023,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,13718.21773,197062.57128,6.96
28/02/2023,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,5734.85278,156586.1298,3.66
28/02/2023,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,398.7152,11136.89473,3.58
28/02/2023,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,387.73334,23829.00344,1.63
28/02/2023,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,21384.69665,494966.23032,4.32
28/02/2023,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,8139.27827,176582.08092,4.61
28/02/2023,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,9688.77344,208096.48641,4.66
28/02/2023,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,5366.13037,108665.83376,4.94
28/02/2023,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,8251.82663,185252.22823,4.45
28/02/2023,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,646.86614,18648.63495,3.47
28/02/2023,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,14046.05139,337033.11478,4.17
28/02/2023,Y56,London,QMJ,North Central London,RAP,North Middlesex University Hospital NHS Trust,Acute,4754.60526,101671.64541,4.68
28/02/2023,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,5248.97328,122935.43073,4.27
28/02/2023,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,327.97015,19935.42478,1.65
28/02/2023,Y56,London,QMJ,North Central London,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute,4678.74036,149395.61222,3.13
28/02/2023,Y56,London,QMJ,North Central London,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,2962.53636,61685.21093,4.8
28/02/2023,Y56,London,QMJ,North Central London,RRP,"Barnet, Enfield and Haringey Mental Health NHS Trust",Mental Health,4806.5805,93964.05704,5.12
28/02/2023,Y56,London,QMJ,North Central London,RRV,University College London Hospitals NHS Foundation Trust,Acute,12271.28663,287714.37861,4.27
28/02/2023,Y56,London,QMJ,North Central London,RV3,Central and North West London NHS Foundation Trust,Mental Health,8176.12245,210775.97175,3.88
28/02/2023,Y56,London,QMJ,North Central London,TAF,Camden and Islington NHS Foundation Trust,Mental Health,2267.70193,66133.87206,3.43
28/02/2023,Y56,London,QRV,North West London,QRV,NHS North West London ICB,Integrated Care Board,621.60676,22537.62685,2.76
28/02/2023,Y56,London,QRV,North West London,R1K,London North West University Healthcare NHS Trust,Acute,9627.88432,223459.32296,4.31
28/02/2023,Y56,London,QRV,North West London,RAN,Royal National Orthopaedic Hospital NHS Trust,Acute,1936.24306,42759.57828,4.53
28/02/2023,Y56,London,QRV,North West London,RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,4829.14576,95002.48061,5.08
28/02/2023,Y56,London,QRV,North West London,RKL,West London NHS Trust,Mental Health,5664.51273,116908.12788,4.85
28/02/2023,Y56,London,QRV,North West London,RPY,Royal Marsden NHS Foundation Trust,Acute,4561.90576,119834.48957,3.81
28/02/2023,Y56,London,QRV,North West London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute,6456.29217,181553.17334,3.56
28/02/2023,Y56,London,QRV,North West London,RYJ,Imperial College Healthcare NHS Trust,Acute,15800.6143,371341.97648,4.26
28/02/2023,Y56,London,QRV,North West London,RYX,Central London Community Healthcare NHS Trust,Community Provider Trust,5951.10575,117162.675,5.08
28/02/2023,Y56,London,QWE,South West London,NNV,Your Healthcare,Community Provider Trust,357.98471,11759.82494,3.04
