DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1854.51586,56317.97035,3.29
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1836.00096,56538.22793,3.25
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,779.22662,35890.18825,2.17
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1708.94746,52125.732879999996,3.28
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,998.9661399999999,21105.09877,4.73
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,435.06003,20257.47362,2.15
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,4819.86112,131155.63263,3.67
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,7971.95182,169974.50729,4.69
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,236.76657,7478.9604899999995,3.17
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,144.96007,5113.2466699999995,2.83
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,13362.58845,599737.77927,2.23
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X36,UK Health Security Agency,Others,4025.04024,164560.0661,2.45
31/07/2023,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,444.73067000000003,25256.50308,1.76
31/07/2023,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,300.46665,10651.29323,2.82
31/07/2023,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1034.98089,29971.062860000002,3.45
31/07/2023,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,539.33345,20013.86633,2.69
31/07/2023,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,29315.05715,687145.74396,4.27
31/07/2023,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,8843.24199,210422.79247,4.2
31/07/2023,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,17842.64158,419934.41231,4.25
31/07/2023,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,5594.58829,127938.17282,4.37
31/07/2023,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,13650.51982,224593.22317,6.08
31/07/2023,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,6552.66038,175429.13745,3.74
31/07/2023,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,503.32799,12210.31059,4.12
31/07/2023,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,567.66665,25923.87781,2.19
31/07/2023,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,25282.24084,586225.59586,4.31
31/07/2023,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,8642.79119,200024.49668,4.32
31/07/2023,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,9679.9396,233302.51316,4.15
31/07/2023,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,4863.8018,121471.30947000001,4.0
31/07/2023,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,9355.38253,209691.15351,4.46
31/07/2023,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,550.10234,20729.21555,2.65
31/07/2023,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,15092.38852,377193.34966,4.0
31/07/2023,Y56,London,QMJ,North Central London,RAP,North Middlesex University Hospital NHS Trust,Acute,5748.3269,132193.99282,4.35
31/07/2023,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,4681.3152,140233.92458,3.34
31/07/2023,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,315.55989,22052.58635,1.43
