DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1380.56652,50512.43912,2.73
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1545.26082,52468.47153,2.95
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,787.2826699999999,32284.60348,2.44
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1636.89592,49511.80973,3.31
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,0DJ,NHS North East London CSU,Commissioning Support Unit,565.2,25922.97323,2.18
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,8JX76,ENGIE Services Ltd,Others,1104.0463,20984.871919999998,5.26
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1150,NHS Resolution,Others,211.87332,16059.33825,1.32
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1450,NHS Business Services Authority,Others,4202.0215,115449.1434,3.64
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1460,NHS Blood and Transplant,Others,8188.9619299999995,153851.94124000001,5.32
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1480,Health Research Authority,Others,282.51999,8243.62336,3.43
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1510,Health Education England,Others,3573.71438,192033.7641,1.86
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,T1540,NHS Counter Fraud Authority,Others,106,4600.9038,2.3
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,X24,NHS England,Others,7198.41286,342409.9072,2.1
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,X26,NHS Digital,Others,2153.21752,89449.55938,2.41
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,X36,UK Health Security Agency,Others,4113.88084,173668.7014,2.37
30.06.2022,QZZ,Special Health Authorities and other statutory bodies,,,X80,National Institute for Health and Care Excellence,Others,481.13334000000003,24027.00231,2
30.06.2022,Y56,London,,,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,288.38395,8507.860920000001,3.39
30.06.2022,Y56,London,,,DEQ,King's Facilities Management (KFM),Others,178.66656,10001.79936,1.79
30.06.2022,Y56,London,,,NNV,Your Healthcare,Community Provider Trust,463.98034,12214.75828,3.8
30.06.2022,Y56,London,,,NQV,Bromley Healthcare,Community Provider Trust,1456.75928,27440.93018,5.31
30.06.2022,Y56,London,,,QKK,NHS South East London ICB,Integrated Care Board,397.3001,15975.17274,2.49
30.06.2022,Y56,London,,,QMF,NHS North East London ICB,Integrated Care Board,275.50666,19510.6455,1.41
30.06.2022,Y56,London,,,QMJ,NHS North Central London ICB,Integrated Care Board,302.09333,14744.8909,2.05
30.06.2022,Y56,London,,,QRV,NHS North West London ICB,Integrated Care Board,880.12009,22859.169,3.85
30.06.2022,Y56,London,,,QWE,NHS South West London ICB,Integrated Care Board,380.74,14924.5303,2.55
30.06.2022,Y56,London,,,R1H,Barts Health NHS Trust,Acute,23483.82908,504626.2355,4.65
30.06.2022,Y56,London,,,R1K,London North West University Healthcare NHS Trust,Acute,7997.46665,231157.8157,3.46
30.06.2022,Y56,London,,,RAL,Royal Free London NHS Foundation Trust,Acute,13410.19952,333463.5766,4.02
30.06.2022,Y56,London,,,RAN,Royal National Orthopaedic Hospital NHS Trust,Acute,1722.6608899999999,44947.98125,3.83
30.06.2022,Y56,London,,,RAP,North Middlesex University Hospital NHS Trust,Acute,5580.6176000000005,109006.4063,5.12
30.06.2022,Y56,London,,,RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,5006.15106,101564.2559,4.93
30.06.2022,Y56,London,,,RAT,North East London NHS Foundation Trust,Mental Health,8540.70761,184713.2184,4.62
30.06.2022,Y56,London,,,RAX,Kingston Hospital NHS Foundation Trust,Acute,4176.48135,99095.0359,4.21
30.06.2022,Y56,London,,,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,10180.44031,215195.9732,4.73
30.06.2022,Y56,London,,,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,30173.78235,643512.9477,4.69
30.06.2022,Y56,London,,,RJ2,Lewisham and Greenwich NHS Trust,Acute,10115.1654,194616.9174,5.2
30.06.2022,Y56,London,,,RJ6,Croydon Health Services NHS Trust,Acute,5328.16281,116410.5982,4.58
30.06.2022,Y56,London,,,RJ7,St George's University Hospitals NHS Foundation Trust,Acute,12477.04716,273535.7616,4.56
30.06.2022,Y56,London,,,RJZ,King's College Hospital NHS Foundation Trust,Acute,17766.84277,383457.6033,4.63
30.06.2022,Y56,London,,,RKE,Whittington Health NHS Trust,Acute,5579.84343,127160.0159,4.39
30.06.2022,Y56,London,,,RKL,West London NHS Trust,Mental Health,5888.72108,118419.0328,4.97
30.06.2022,Y56,London,,,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,343.24658999999997,20675.9809,1.66
30.06.2022,Y56,London,,,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Acute,5838.27497,161015.868,3.63
30.06.2022,Y56,London,,,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,2906.90811,63675.02883,4.57
30.06.2022,Y56,London,,,RPG,Oxleas NHS Foundation Trust,Mental Health,5518.05382,109911.7631,5.02
30.06.2022,Y56,London,,,RPY,Royal Marsden NHS Foundation Trust,Acute,5099.04401,125261.2186,4.07
30.06.2022,Y56,London,,,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute,6891.00582,185329.4423,3.72
30.06.2022,Y56,London,,,RQX,Homerton University Hospital NHS Foundation Trust,Acute,4780.29689,110512.0911,4.33
30.06.2022,Y56,London,,,RQY,South West London and St George's Mental Health NHS Trust,Mental Health,3402.4603,72774.21742,4.68
30.06.2022,Y56,London,,,RRP,"Barnet, Enfield and Haringey Mental Health NHS Trust",Mental Health,5040.1508,96992.28211,5.2
30.06.2022,Y56,London,,,RRU,London Ambulance Service NHS Trust,Ambulance,17866.55772,201739.7087,8.86
30.06.2022,Y56,London,,,RRV,University College London Hospitals NHS Foundation Trust,Acute,13049.30922,295035.5927,4.42
30.06.2022,Y56,London,,,RV3,Central and North West London NHS Foundation Trust,Mental Health,9359.49283,218406.352,4.29
30.06.2022,Y56,London,,,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,6510.45451,159574.7988,4.08
30.06.2022,Y56,London,,,RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,10459.4806,189146.2324,5.53
30.06.2022,Y56,London,,,RWK,East London NHS Foundation Trust,Mental Health,7351.25764,189542.6184,3.88
30.06.2022,Y56,London,,,RY9,Hounslow and Richmond Community Healthcare NHS Trust,Community Provider Trust,1486.85986,32745.45575,4.54
30.06.2022,Y56,London,,,RYJ,Imperial College Healthcare NHS Trust,Acute,17249.719,378054.9956,4.56
30.06.2022,Y56,London,,,RYX,Central London Community Healthcare NHS Trust,Community Provider Trust,6517.20834,119522.8639,5.45
30.06.2022,Y56,London,,,TAF,Camden and Islington NHS Foundation Trust,Mental Health,2598.77785,67020.0867,3.88
30.06.2022,Y58,South West,,,AWK,Smile Together Dental CIC,Community Provider Trust,62.599999999999994,2520.7998,2.48
30.06.2022,Y58,South West,,,AXG,Wiltshire Health and Care,Community Provider Trust,1470.16314,30522.01386,4.82
30.06.2022,Y58,South West,,,NLX,Sirona Care and Health,Community Provider Trust,4082.48083,78074.73011,5.23
30.06.2022,Y58,South West,,,NR5,Livewell Southwest,Community Provider Trust,4319.99275,68042.61986,6.35
30.06.2022,Y58,South West,,,QJK,NHS Devon ICB,Integrated Care Board,410.44256,15619.66954,2.63
30.06.2022,Y58,South West,,,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",Integrated Care Board,231.54653,12716.93341,1.82
30.06.2022,Y58,South West,,,QR1,NHS Gloucestershire ICB,Integrated Care Board,258.33344,10853.21334,2.38
30.06.2022,Y58,South West,,,QSL,NHS Somerset ICB,Integrated Care Board,158.36,7903.21612,2
30.06.2022,Y58,South West,,,QT6,NHS Cornwall and the Isles of Scilly ICB,Integrated Care Board,382.74838,8395.9578,4.56
30.06.2022,Y58,South West,,,QUY,"NHS Bristol, North Somerset and South Gloucestershire ICB",Integrated Care Board,438.5,14146.30602,3.1
30.06.2022,Y58,South West,,,QVV,NHS Dorset ICB,Integrated Care Board,476.30675,12459.26642,3.82
30.06.2022,Y58,South West,,,R0D,University Hospitals Dorset NHS Foundation Trust,Acute,12678.31819,248960.3395,5.09
30.06.2022,Y58,South West,,,RA4,Yeovil District Hospital NHS Foundation Trust,Acute,3358.30541,72878.46865,4.61
30.06.2022,Y58,South West,,,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,Acute,12913.17988,313857.2019,4.11
30.06.2022,Y58,South West,,,RA9,Torbay and South Devon NHS Foundation Trust,Acute,8574.01923,176482.1226,4.86
30.06.2022,Y58,South West,,,RBD,Dorset County Hospital NHS Foundation Trust,Acute,3954.08588,87484.20878,4.52
30.06.2022,Y58,South West,,,RD1,Royal United Hospitals Bath NHS Foundation Trust,Acute,8315.33422,157853.8479,5.27
30.06.2022,Y58,South West,,,RDY,Dorset Healthcare University NHS Foundation Trust,Mental Health,9490.35336,158419.1843,5.99
30.06.2022,Y58,South West,,,REF,Royal Cornwall Hospitals NHS Trust,Acute,9104.34519,187249.9805,4.86
30.06.2022,Y58,South West,,,RH5,Somerset NHS Foundation Trust,Acute,14228.9728,258609.8741,5.5
30.06.2022,Y58,South West,,,RH8,Royal Devon University Healthcare NHS Foundation Trust,Acute,17603.00553,332542.6311,5.29
30.06.2022,Y58,South West,,,RJ8,Cornwall Partnership NHS Foundation Trust,Mental Health,5892.89254,109271.8326,5.39
30.06.2022,Y58,South West,,,RK9,University Hospitals Plymouth NHS Trust,Acute,16522.87029,258567.4383,6.39
30.06.2022,Y58,South West,,,RN3,Great Western Hospitals NHS Foundation Trust,Acute,7285.03918,143057.8674,5.09
30.06.2022,Y58,South West,,,RNZ,Salisbury NHS Foundation Trust,Acute,5417.67252,105797.4805,5.12
30.06.2022,Y58,South West,,,RTE,Gloucestershire Hospitals NHS Foundation Trust,Acute,9849.17515,236171.2848,4.17
30.06.2022,Y58,South West,,,RTQ,Gloucestershire Health and Care NHS Foundation Trust,Mental Health,6119.60622,115693.9991,5.29
30.06.2022,Y58,South West,,,RVJ,North Bristol NHS Trust,Acute,13144.78334,248227.9827,5.3
30.06.2022,Y58,South West,,,RVN,Avon and Wiltshire Mental Health Partnership NHS Trust,Mental Health,6257.64564,120024.6653,5.21
30.06.2022,Y58,South West,,,RWV,Devon Partnership NHS Trust,Mental Health,6102.30367,97296.68158,6.27
30.06.2022,Y58,South West,,,RYF,South Western Ambulance Service NHS Foundation Trust,Ambulance,9255.76066,136127.5811,6.8
30.06.2022,Y59,South East,,,AQG,Procare Health Ltd,Community Provider Trust,123.81334,2707.3523,4.57
30.06.2022,Y59,South East,,,NDJ,First Community Health and Care CIC,Community Provider Trust,693.26644,13239.21476,5.24
30.06.2022,Y59,South East,,,NQ7,Medway Community Healthcare,Community Provider Trust,1607.7794,34988.16049,4.6
30.06.2022,Y59,South East,,,NTV,CSH Surrey,Community Provider Trust,1221.77799,26815.72098,4.56
30.06.2022,Y59,South East,,,QKS,NHS Kent and Medway ICB,Integrated Care Board,720.73346,19534.57124,3.69
30.06.2022,Y59,South East,,,QNQ,NHS Frimley ICB,Integrated Care Board,164.4199,7013.15199,2.34
30.06.2022,Y59,South East,,,QNX,NHS Sussex ICB,Integrated Care Board,691.07999,25003.58815,2.76
30.06.2022,Y59,South East,,,QRL,NHS Hampshire and Isle of Wight ICB,Integrated Care Board,559.41336,24234.50798,2.31
30.06.2022,Y59,South East,,,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Integrated Care Board,50.25323,2719.3099,1.85
30.06.2022,Y59,South East,,,QXU,NHS Surrey Heartlands ICB,Integrated Care Board,438.37331,14846.9921,2.95
30.06.2022,Y59,South East,,,R1C,Solent NHS Trust,Community Provider Trust,5759.01509,105351.2854,5.47
30.06.2022,Y59,South East,,,R1F,Isle of Wight NHS Trust,Acute,5597.11792,100477.7924,5.57
30.06.2022,Y59,South East,,,RA2,Royal Surrey County Hospital NHS Foundation Trust,Acute,5694.50576,134253.28657999999,4.24
30.06.2022,Y59,South East,,,RDR,Sussex Community NHS Foundation Trust,Community Provider Trust,6762.96124,133536.2593,5.06
30.06.2022,Y59,South East,,,RDU,Frimley Health NHS Foundation Trust,Acute,11638.57507,278358.4974,4.18
30.06.2022,Y59,South East,,,RHM,University Hospital Southampton NHS Foundation Trust,Acute,16197.8589,350169.9436,4.63
30.06.2022,Y59,South East,,,RHU,Portsmouth Hospitals University NHS Trust,Acute,11222.527829999999,221956.1587,5.06
30.06.2022,Y59,South East,,,RHW,Royal Berkshire NHS Foundation Trust,Acute,6042.85324,161147.2532,3.75
