DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1945.8511,52992.34181,3.67
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,2086.36691,55592.97878,3.75
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,953.73329,35156.80432,2.71
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1651.54123,49364.96956,3.35
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,1202.8798299999999,21695.75303,5.54
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,193.89999,17216.39177,1.13
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,4718.6802,125309.43326,3.77
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,9211.22123,161510.57736,5.7
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,214.92,8054.52695,2.67
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1510,Health Education England,Others,5030.34484,211642.5284,2.38
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,171.4,4783.50049,3.58
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,9341.24098,359952.69637,2.6
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X26,NHS Digital,Others,2363.59606,96174.72398,2.46
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X36,UK Health Security Agency,Others,4142.20274,158484.47957,2.61
31/10/2022,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,434.53504,25141.57345,1.73
31/10/2022,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,286.96000000000004,10347.94625,2.77
31/10/2022,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1384.15205,29052.27636,4.76
31/10/2022,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,658.1467700000001,19929.08755,3.3
31/10/2022,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,31387.16084,674921.88126,4.65
31/10/2022,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,11714.75221,206166.56723,5.68
31/10/2022,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,19006.61709,406245.77005,4.68
31/10/2022,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,6498.96037,119643.72938,5.43
31/10/2022,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,15270.08257,210047.1579,7.27
31/10/2022,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,7397.64025,166753.64432,4.44
31/10/2022,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,548.25579,12205.87603,4.49
31/10/2022,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,570.04,26809.40431,2.13
31/10/2022,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,25343.10329,525495.83823,4.82
31/10/2022,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,9015.13616,189287.18872,4.76
